"","Brand_name","Target_brand","Others_target_brand","affinity_to_brand"
"1","Tyrrells",0.0295868709877821,0.0241803093998056,1.22359356526762
"2","Twisties",0.043306067508801,0.0356202481121204,1.21577107976587
"3","Tostitos",0.0425812797680679,0.0353627368299074,1.2041285145118
"4","Pringles",0.111979705943259,0.0935731621741678,1.19670751037388
"5","Kettle",0.185649202733485,0.155549690020794,1.19350416390201
"6","Old",0.0415976392627873,0.0353047967914094,1.17824327126305
"7","Doritos",0.12287740733071,0.10693155993897,1.14912199355215
"8","Infuzions",0.0606492027334852,0.053053761917944,1.14316498097324
"9","Grain",0.0273089666597639,0.0240000515022564,1.13787116903463
"10","Cobs",0.0418564920273349,0.0376417116774929,1.11197100668411
"11","Thins",0.0566110996065438,0.0528863795845055,1.07042872004665
"12","Cheezels",0.0168513149720439,0.0169313668055082,0.995271980438211
"13","Smiths",0.0934199627252019,0.120753478011755,0.77364200405149
"14","French",0.00370159453302961,0.00515022564426104,0.718724729498861
"15","RRD",0.0453768896251812,0.0675194581962622,0.672056483233054
"16","Natural",0.0183785462828743,0.027740402876401,0.662519083257766
"17","Cheetos",0.00753261544833299,0.011562256571366,0.651483160042265
"18","GrnWves",0.00336508593911783,0.00544636361880605,0.617859212979893
"19","CCs",0.0104835369641748,0.017343384857049,0.604468911379421
"20","Sunbites",0.00595361358459308,0.0112210541224337,0.530575248959035
"21","Woolworths",0.0281890660592255,0.0562147129071092,0.501453527047375
"22","Burger",0.00274383930420377,0.00601288843967476,0.456326328308227
